blue-100,#CFE2FF
blue-200,#9EC5FE
blue-300,#6EA8FE
blue-400,#3D8BFD
blue-500,#0D6EFD
blue-600,#0A58CA
blue-700,#084298
blue-800,#052C65
blue-900,#031633
gray-100,#F8F9FA
gray-200,#E9ECEF
gray-300,#DEE2E6
gray-400,#CED4DA
gray-500,#ADB5BD
gray-600,#6C757D
gray-700,#495057
gray-800,#343A40
gray-900,#212529
red-100,#F8D7DA
red-200,#F1AEB5
red-300,#EA868F
red-400,#E35D6A
red-500,#DC3545
red-600,#B02A37
red-700,#842029
red-800,#58151C
red-900,#2C0B0E
yellow-100,#FFF3CD
yellow-200,#FFE69C
yellow-300,#FFDA6A
yellow-400,#FFCD39
yellow-500,#FFC107
yellow-600,#CC9A06
yellow-700,#997404
yellow-800,#664D03
yellow-900,#332601
green-100,#D1E7DD
green-200,#A3CFBB
green-300,#75B798
green-400,#479F76
green-500,#198754
green-600,#146C43
green-700,#0F5132
green-800,#0A3622
green-900,#051B11
primary,#0D6EFD
secondary,#6C757D
success,#198754
info,#0DCAF0
warning,#FFC107
danger,#DC3545
light,#F8F9FA
dark,#212529
