gray-50,#F7FAFC
gray-100,#EDF2F7
gray-200,#E2E8F0
gray-300,#CBD5E0
gray-400,#A0AEC0
gray-500,#718096
gray-600,#4A5568
gray-700,#2D3748
gray-800,#1A202C
gray-900,#171923
blue-50,#EBF8FF
blue-100,#BEE3F8
blue-200,#90CDF4
blue-300,#63B3ED
blue-400,#4299E1
blue-500,#3182CE
blue-600,#2B6CB0
blue-700,#2C5282
blue-800,#2A4365
blue-900,#1A365D
green-50,#F0FFF4
green-100,#C6F6D5
green-200,#9AE6B4
green-300,#68D391
green-400,#48BB78
green-500,#38A169
green-600,#2F855A
green-700,#276749
green-800,#22543D
green-900,#1C4532
orange-50,#FFFAF0
orange-100,#FEEBC8
orange-200,#FBD38D
orange-300,#F6AD55
orange-400,#ED8936
orange-500,#DD6B20
orange-600,#C05621
orange-700,#9C4221
orange-800,#7B341E
orange-900,#652B19
red-50,#FFF5F5
red-100,#FED7D7
red-200,#FEB2B2
red-300,#FC8181
red-400,#F56565
red-500,#E53E3E
red-600,#C53030
red-700,#9B2C2C
red-800,#742A2A
red-900,#63171B
info-50,#EBF8FF
info-100,#BEE3F8
info-200,#90CDF4
info-300,#63B3ED
info-400,#4299E1
info-500,#3182CE
info-600,#2B6CB0
info-700,#2C5282
info-800,#2A4365
info-900,#1A365D
success-50,#F0FFF4
success-100,#C6F6D5
success-200,#9AE6B4
success-300,#68D391
success-400,#48BB78
success-500,#38A169
success-600,#2F855A
success-700,#276749
success-800,#22543D
success-900,#1C4532
warning-50,#FFFAF0
warning-100,#FEEBC8
warning-200,#FBD38D
warning-300,#F6AD55
warning-400,#ED8936
warning-500,#DD6B20
warning-600,#C05621
warning-700,#9C4221
warning-800,#7B341E
warning-900,#652B19
error-50,#FFF5F5
error-100,#FED7D7
error-200,#FEB2B2
error-300,#FC8181
error-400,#F56565
error-500,#E53E3E
error-600,#C53030
error-700,#9B2C2C
error-800,#742A2A
error-900,#63171B
