gray-10,#F4F4F4
gray-20,#E0E0E0
gray-30,#C6C6C6
gray-40,#A8A8A8
gray-50,#8D8D8D
gray-60,#6F6F6F
gray-70,#525252
gray-80,#393939
gray-90,#262626
gray-100,#161616
blue-10,#EDF5FF
blue-20,#D0E2FF
blue-30,#A6C8FF
blue-40,#78A9FF
blue-50,#4589FF
blue-60,#0F62FE
blue-70,#0043CE
blue-80,#002D9C
blue-90,#001D6C
blue-100,#001141
green-10,#DEFBE6
green-20,#A7F0BA
green-30,#6FDC8C
green-40,#42BE65
green-50,#24A148
green-60,#198038
green-70,#0E6027
green-80,#044317
green-90,#022D0D
green-100,#071908
red-10,#FFF1F1
red-20,#FFD7D9
red-30,#FFB3B8
red-40,#FF8389
red-50,#FA4D56
red-60,#DA1E28
red-70,#A2191F
red-80,#750E13
red-90,#520408
red-100,#2D0709
yellow-10,#FCF4D6
yellow-20,#F2C100
yellow-30,#E1B000
yellow-40,#C29100
yellow-50,#A47800
yellow-60,#8A5D00
yellow-70,#6B4700
yellow-80,#4D3000
yellow-90,#331C00
yellow-100,#1C0D00
info-10,#EDF5FF
info-20,#D0E2FF
info-30,#A6C8FF
info-40,#78A9FF
info-50,#4589FF
info-60,#0F62FE
info-70,#0043CE
info-80,#002D9C
info-90,#001D6C
info-100,#001141
success-10,#DEFBE6
success-20,#A7F0BA
success-30,#6FDC8C
success-40,#42BE65
success-50,#24A148
success-60,#198038
success-70,#0E6027
success-80,#044317
success-90,#022D0D
success-100,#071908
warning-10,#FCF4D6
warning-20,#F2C100
warning-30,#E1B000
warning-40,#C29100
warning-50,#A47800
warning-60,#8A5D00
warning-70,#6B4700
warning-80,#4D3000
warning-90,#331C00
warning-100,#1C0D00
danger-10,#FFF1F1
danger-20,#FFD7D9
danger-30,#FFB3B8
danger-40,#FF8389
danger-50,#FA4D56
danger-60,#DA1E28
danger-70,#A2191F
danger-80,#750E13
danger-90,#520408
danger-100,#2D0709
