slate-1,#FCFCFD
slate-2,#F9F9FB
slate-3,#F0F0F3
slate-4,#E8E8EC
slate-5,#E0E1E6
slate-6,#D3D4DB
slate-7,#C4C5D0
slate-8,#B3B5C6
slate-9,#8B8D98
slate-10,#80838D
slate-11,#656973
slate-12,#11181C
blue-1,#FBFDFF
blue-2,#F4FAFF
blue-3,#E6F4FE
blue-4,#D5EFFF
blue-5,#C2E5FF
blue-6,#ACD8FC
blue-7,#8EC8F6
blue-8,#5EB1EF
blue-9,#0090FF
blue-10,#0588F0
blue-11,#0D74CE
blue-12,#113264
green-1,#FBFEFC
green-2,#F2FCF5
green-3,#E9F9EE
green-4,#DDF3E4
green-5,#CCEBD7
green-6,#B4DFC4
green-7,#92CEAC
green-8,#5BB98B
green-9,#30A46C
green-10,#299764
green-11,#18794E
green-12,#153226
yellow-1,#FDFDF9
yellow-2,#FFFCE8
yellow-3,#FFFBE0
yellow-4,#FFF8C6
yellow-5,#FEF2A4
yellow-6,#F9E68F
yellow-7,#F3D875
yellow-8,#EBC351
yellow-9,#FFE629
yellow-10,#FFDC00
yellow-11,#9E6C00
yellow-12,#4D3000
red-1,#FFFCFC
red-2,#FFF7F7
red-3,#FFE9E9
red-4,#FFDBDC
red-5,#FFCDCE
red-6,#FDBDBE
red-7,#F3A9A8
red-8,#EA8E8E
red-9,#E5484D
red-10,#DC3E42
red-11,#CE2C31
red-12,#381316
info-1,#FBFDFF
info-2,#F4FAFF
info-3,#E6F4FE
info-4,#D5EFFF
info-5,#C2E5FF
info-6,#ACD8FC
info-7,#8EC8F6
info-8,#5EB1EF
info-9,#0090FF
info-10,#0588F0
info-11,#0D74CE
info-12,#113264
success-1,#FBFEFC
success-2,#F2FCF5
success-3,#E9F9EE
success-4,#DDF3E4
success-5,#CCEBD7
success-6,#B4DFC4
success-7,#92CEAC
success-8,#5BB98B
success-9,#30A46C
success-10,#299764
success-11,#18794E
success-12,#153226
warning-1,#FDFDF9
warning-2,#FFFCE8
warning-3,#FFFBE0
warning-4,#FFF8C6
warning-5,#FEF2A4
warning-6,#F9E68F
warning-7,#F3D875
warning-8,#EBC351
warning-9,#FFE629
warning-10,#FFDC00
warning-11,#9E6C00
warning-12,#4D3000
danger-1,#FFFCFC
danger-2,#FFF7F7
danger-3,#FFE9E9
danger-4,#FFDBDC
danger-5,#FFCDCE
danger-6,#FDBDBE
danger-7,#F3A9A8
danger-8,#EA8E8E
danger-9,#E5484D
danger-10,#DC3E42
danger-11,#CE2C31
danger-12,#381316
